"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"-4","ORIGPROT","BAIPETNMRCFDG","Banner Alzheimer's Institute PET NMRC FDG Summaries","-4","Original study protocol","-4","-4","T","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-12-15 14:13:24.0"
"-4","RID","BAIPETNMRCFDG","Banner Alzheimer's Institute PET NMRC FDG Summaries","-4","Participant roster ID","-4","-4","N","4","-4","-4","-4","-4","-4","","The 4 digit roster ID (RID) should be used to merge data","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-12-15 14:13:24.0"
"-4","VISCODE","BAIPETNMRCFDG","Banner Alzheimer's Institute PET NMRC FDG Summaries","-4","Visit code","-4","-4","T","3","-4","-4","-4","-4","-4","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-12-15 14:13:24.0"
"-4","VISCODE2","BAIPETNMRCFDG","Banner Alzheimer's Institute PET NMRC FDG Summaries","-4","Translated visit code","-4","-4","T","3","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-12-15 14:13:24.0"
"-4","EXAMDATE","BAIPETNMRCFDG","Banner Alzheimer's Institute PET NMRC FDG Summaries","-4","Examination Date","-4","-4","D","10","-4","-4","-4","-4","-4","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-12-15 14:13:24.0"
"-4","SCANDATE","BAIPETNMRCFDG","Banner Alzheimer's Institute PET NMRC FDG Summaries","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-12-15 14:13:24.0"
"-4","LONIUID","BAIPETNMRCFDG","Banner Alzheimer's Institute PET NMRC FDG Summaries","-4","LONI Unique Image Identifier","-4","-4","N","7","-4","-4","-4","-4","-4","","This is a longer description if necessary.","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-12-15 14:13:24.0"
"-4","RUNDATE","BAIPETNMRCFDG","Banner Alzheimer's Institute PET NMRC FDG Summaries","-4","DATE analysis performed","-4","-4","D","10","-4","-4","-4","-4","-4","","Please use MM/DD/YYYY format","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-12-15 14:13:24.0"
"-4","STATUS","BAIPETNMRCFDG","Banner Alzheimer's Institute PET NMRC FDG Summaries","-4","Complete/Incomplete","-4","-4","T","8","-4","-4","-4","-4","-4","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-12-15 14:13:24.0"
"-4","MODALITY","BAIPETNMRCFDG","Banner Alzheimer's Institute PET NMRC FDG Summaries","-4","The type of pet scan used for analysis","-4","-4","T","12","-4","-4","-4","-4","-4","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-12-15 14:13:24.0"
"-4","HCI","BAIPETNMRCFDG","Banner Alzheimer's Institute PET NMRC FDG Summaries","-4","Hypometabolic Convergence Index","-4","-4","N","","-4","-4","-4","-4","unitless","","Refer to BAI-PET-NMRC-FDG-Processing-Methods","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-12-15 14:13:24.0"
"-4","SROI.AD","BAIPETNMRCFDG","Banner Alzheimer's Institute PET NMRC FDG Summaries","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-12-15 14:13:24.0"
"-4","SROI.MCI","BAIPETNMRCFDG","Banner Alzheimer's Institute PET NMRC FDG Summaries","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2020-12-15 14:13:24.0"
