"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","UCBERKELEYAV1451","UC Berkeley - AV1451 analysis","-4","Participant roster ID","-4","-4","T","10","","-4","-4","-4","","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-19 12:46:59.0"
"","VISCODE","UCBERKELEYAV1451","UC Berkeley - AV1451 analysis","-4","Visit code","-4","-4","T","3","","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-19 12:46:59.0"
"","VISCODE2","UCBERKELEYAV1451","UC Berkeley - AV1451 analysis","-4","Translated visit code","-4","-4","T","3","","-4","-4","-4","","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-19 12:46:59.0"
"","EXAMDATE","UCBERKELEYAV1451","UC Berkeley - AV1451 analysis","-4","Examination Date","-4","-4","D","7","","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-19 12:46:59.0"
"","INFERIORCEREBELLUM_SUVR","UCBERKELEYAV1451","UC Berkeley - AV1451 analysis","-4","Reference region - av1451 mean of inferior cerebellar grey matter","-4","-4","N","","4","-4","-4","-4","av1451 uptake - reference region","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-19 12:46:59.0"
"","INFERIORCEREBELLUM_VOLUME","UCBERKELEYAV1451","UC Berkeley - AV1451 analysis","-4","Inferior Cerebellar Grey Matter ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-19 12:46:59.0"
"","ERODED_SUBCORTICALWM_SUVR","UCBERKELEYAV1451","UC Berkeley - AV1451 analysis","-4","Reference region - av1451 mean of subcortical white matter eroded away from cortex","-4","-4","N","","4","-4","-4","-4","av1451 uptake - reference region","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-19 12:46:59.0"
"","ERODED_SUBCORTICALWM_VOLUME","UCBERKELEYAV1451","UC Berkeley - AV1451 analysis","-4","Subcortical white matter eroded away from cortex size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-19 12:46:59.0"
"","BRAAK1_SUVR","UCBERKELEYAV1451","UC Berkeley - AV1451 analysis","-4","Weighted av1451 mean of Braak region 1","-4","-4","N","","4","-4","-4","-4","av1451 uptake - composite region","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-19 12:46:59.0"
"","BRAAK1_VOLUME","UCBERKELEYAV1451","UC Berkeley - AV1451 analysis","-4","Braak region 1 size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-19 12:46:59.0"
"","BRAAK34_SUVR","UCBERKELEYAV1451","UC Berkeley - AV1451 analysis","-4","Weighted av1451 mean of Braak region 3 and 4 ","-4","-4","N","","4","-4","-4","-4","av1451 uptake - composite region","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-19 12:46:59.0"
"","BRAAK34_VOLUME","UCBERKELEYAV1451","UC Berkeley - AV1451 analysis","-4","Braak region 3+4 size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-19 12:46:59.0"
"","META_TEMPORAL_SUVR","UCBERKELEYAV1451","UC Berkeley - AV1451 analysis","-4","Weighted av1451 mean of meta-temporal ROI","-4","-4","N","","4","-4","-4","-4","av1451 uptake - composite region","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2021-01-19 12:46:59.0"
